Readings,Start Timestamp,End Timestamp
78.3762,Wednesday January 1 2020 12:00:00 AM,Wednesday January 1 2020 1:00:00 AM
80.4501,Wednesday January 1 2020 1:00:00 AM,Wednesday January 1 2020 2:00:00 AM
87.6812,Wednesday January 1 2020 2:00:00 AM,Wednesday January 1 2020 3:00:00 AM
80.6478,Wednesday January 1 2020 3:00:00 AM,Wednesday January 1 2020 4:00:00 AM
74.4365,Wednesday January 1 2020 4:00:00 AM,Wednesday January 1 2020 5:00:00 AM
89.9383,Wednesday January 1 2020 5:00:00 AM,Wednesday January 1 2020 6:00:00 AM
64.612,Wednesday January 1 2020 6:00:00 AM,Wednesday January 1 2020 7:00:00 AM
67.3798,Wednesday January 1 2020 7:00:00 AM,Wednesday January 1 2020 8:00:00 AM
51.7031,Wednesday January 1 2020 8:00:00 AM,Wednesday January 1 2020 9:00:00 AM
76.4924,Wednesday January 1 2020 9:00:00 AM,Wednesday January 1 2020 10:00:00 AM
66.5126,Wednesday January 1 2020 10:00:00 AM,Wednesday January 1 2020 11:00:00 AM
69.2057,Wednesday January 1 2020 11:00:00 AM,Wednesday January 1 2020 12:00:00 PM
46.3615,Wednesday January 1 2020 12:00:00 PM,Wednesday January 1 2020 1:00:00 PM
61.3081,Wednesday January 1 2020 1:00:00 PM,Wednesday January 1 2020 2:00:00 PM
69.8333,Wednesday January 1 2020 2:00:00 PM,Wednesday January 1 2020 3:00:00 PM
79.9211,Wednesday January 1 2020 3:00:00 PM,Wednesday January 1 2020 4:00:00 PM
58.0826,Wednesday January 1 2020 4:00:00 PM,Wednesday January 1 2020 5:00:00 PM
66.036,Wednesday January 1 2020 5:00:00 PM,Wednesday January 1 2020 6:00:00 PM
65.8845,Wednesday January 1 2020 6:00:00 PM,Wednesday January 1 2020 7:00:00 PM
66.2125,Wednesday January 1 2020 7:00:00 PM,Wednesday January 1 2020 8:00:00 PM
64.1526,Wednesday January 1 2020 8:00:00 PM,Wednesday January 1 2020 9:00:00 PM
58.632,Wednesday January 1 2020 9:00:00 PM,Wednesday January 1 2020 10:00:00 PM
56.8067,Wednesday January 1 2020 10:00:00 PM,Wednesday January 1 2020 11:00:00 PM
71.8266,Wednesday January 1 2020 11:00:00 PM,Thursday January 2 2020 12:00:00 AM
79.9446,Thursday January 2 2020 12:00:00 AM,Thursday January 2 2020 1:00:00 AM
63.6031,Thursday January 2 2020 1:00:00 AM,Thursday January 2 2020 2:00:00 AM
88.1967,Thursday January 2 2020 2:00:00 AM,Thursday January 2 2020 3:00:00 AM
66.6821,Thursday January 2 2020 3:00:00 AM,Thursday January 2 2020 4:00:00 AM
51.8747,Thursday January 2 2020 4:00:00 AM,Thursday January 2 2020 5:00:00 AM
61.5577,Thursday January 2 2020 5:00:00 AM,Thursday January 2 2020 6:00:00 AM
89.278,Thursday January 2 2020 6:00:00 AM,Thursday January 2 2020 7:00:00 AM
62.5154,Thursday January 2 2020 7:00:00 AM,Thursday January 2 2020 8:00:00 AM
93.6887,Thursday January 2 2020 8:00:00 AM,Thursday January 2 2020 9:00:00 AM
102.022,Thursday January 2 2020 9:00:00 AM,Thursday January 2 2020 10:00:00 AM
77.9273,Thursday January 2 2020 10:00:00 AM,Thursday January 2 2020 11:00:00 AM
71.9148,Thursday January 2 2020 11:00:00 AM,Thursday January 2 2020 12:00:00 PM
87.6554,Thursday January 2 2020 12:00:00 PM,Thursday January 2 2020 1:00:00 PM
73.6797,Thursday January 2 2020 1:00:00 PM,Thursday January 2 2020 2:00:00 PM
89.9178,Thursday January 2 2020 2:00:00 PM,Thursday January 2 2020 3:00:00 PM
81.2574,Thursday January 2 2020 3:00:00 PM,Thursday January 2 2020 4:00:00 PM
77.5276,Thursday January 2 2020 4:00:00 PM,Thursday January 2 2020 5:00:00 PM
109.803,Thursday January 2 2020 5:00:00 PM,Thursday January 2 2020 6:00:00 PM
110.182,Thursday January 2 2020 6:00:00 PM,Thursday January 2 2020 7:00:00 PM
102.238,Thursday January 2 2020 7:00:00 PM,Thursday January 2 2020 8:00:00 PM
50.8612,Thursday January 2 2020 8:00:00 PM,Thursday January 2 2020 9:00:00 PM
60.0711,Thursday January 2 2020 9:00:00 PM,Thursday January 2 2020 10:00:00 PM
89.2086,Thursday January 2 2020 10:00:00 PM,Thursday January 2 2020 11:00:00 PM
88.9053,Thursday January 2 2020 11:00:00 PM,Friday January 3 2020 12:00:00 AM
70.851,Friday January 3 2020 12:00:00 AM,Friday January 3 2020 1:00:00 AM
72.511,Friday January 3 2020 1:00:00 AM,Friday January 3 2020 2:00:00 AM
73.6778,Friday January 3 2020 2:00:00 AM,Friday January 3 2020 3:00:00 AM
72.4411,Friday January 3 2020 3:00:00 AM,Friday January 3 2020 4:00:00 AM
53.5442,Friday January 3 2020 4:00:00 AM,Friday January 3 2020 5:00:00 AM
52.8398,Friday January 3 2020 5:00:00 AM,Friday January 3 2020 6:00:00 AM
57.0856,Friday January 3 2020 6:00:00 AM,Friday January 3 2020 7:00:00 AM
70.6194,Friday January 3 2020 7:00:00 AM,Friday January 3 2020 8:00:00 AM
45.3746,Friday January 3 2020 8:00:00 AM,Friday January 3 2020 9:00:00 AM
79.3327,Friday January 3 2020 9:00:00 AM,Friday January 3 2020 10:00:00 AM
107.315,Friday January 3 2020 10:00:00 AM,Friday January 3 2020 11:00:00 AM
89.764,Friday January 3 2020 11:00:00 AM,Friday January 3 2020 12:00:00 PM
60.5644,Friday January 3 2020 12:00:00 PM,Friday January 3 2020 1:00:00 PM
65.1749,Friday January 3 2020 1:00:00 PM,Friday January 3 2020 2:00:00 PM
84.4612,Friday January 3 2020 2:00:00 PM,Friday January 3 2020 3:00:00 PM
97.4926,Friday January 3 2020 3:00:00 PM,Friday January 3 2020 4:00:00 PM
95.6998,Friday January 3 2020 4:00:00 PM,Friday January 3 2020 5:00:00 PM
77.4692,Friday January 3 2020 5:00:00 PM,Friday January 3 2020 6:00:00 PM
62.9821,Friday January 3 2020 6:00:00 PM,Friday January 3 2020 7:00:00 PM
86.9943,Friday January 3 2020 7:00:00 PM,Friday January 3 2020 8:00:00 PM
66.717,Friday January 3 2020 8:00:00 PM,Friday January 3 2020 9:00:00 PM
67.2246,Friday January 3 2020 9:00:00 PM,Friday January 3 2020 10:00:00 PM
57.8169,Friday January 3 2020 10:00:00 PM,Friday January 3 2020 11:00:00 PM
62.6713,Friday January 3 2020 11:00:00 PM,Saturday January 4 2020 12:00:00 AM
60.4005,Saturday January 4 2020 12:00:00 AM,Saturday January 4 2020 1:00:00 AM
57.1134,Saturday January 4 2020 1:00:00 AM,Saturday January 4 2020 2:00:00 AM
78.0023,Saturday January 4 2020 2:00:00 AM,Saturday January 4 2020 3:00:00 AM
83.7286,Saturday January 4 2020 3:00:00 AM,Saturday January 4 2020 4:00:00 AM
72.1713,Saturday January 4 2020 4:00:00 AM,Saturday January 4 2020 5:00:00 AM
86.0674,Saturday January 4 2020 5:00:00 AM,Saturday January 4 2020 6:00:00 AM
65.6981,Saturday January 4 2020 6:00:00 AM,Saturday January 4 2020 7:00:00 AM
91.89,Saturday January 4 2020 7:00:00 AM,Saturday January 4 2020 8:00:00 AM
66.4869,Saturday January 4 2020 8:00:00 AM,Saturday January 4 2020 9:00:00 AM
58.9222,Saturday January 4 2020 9:00:00 AM,Saturday January 4 2020 10:00:00 AM
56.1576,Saturday January 4 2020 10:00:00 AM,Saturday January 4 2020 11:00:00 AM
70.8154,Saturday January 4 2020 11:00:00 AM,Saturday January 4 2020 12:00:00 PM
53.8981,Saturday January 4 2020 12:00:00 PM,Saturday January 4 2020 1:00:00 PM
83.7298,Saturday January 4 2020 1:00:00 PM,Saturday January 4 2020 2:00:00 PM
55.4381,Saturday January 4 2020 2:00:00 PM,Saturday January 4 2020 3:00:00 PM
69.3257,Saturday January 4 2020 3:00:00 PM,Saturday January 4 2020 4:00:00 PM
68.6831,Saturday January 4 2020 4:00:00 PM,Saturday January 4 2020 5:00:00 PM
88.8071,Saturday January 4 2020 5:00:00 PM,Saturday January 4 2020 6:00:00 PM
70.9573,Saturday January 4 2020 6:00:00 PM,Saturday January 4 2020 7:00:00 PM
57.2011,Saturday January 4 2020 7:00:00 PM,Saturday January 4 2020 8:00:00 PM
64.2247,Saturday January 4 2020 8:00:00 PM,Saturday January 4 2020 9:00:00 PM
57.0266,Saturday January 4 2020 9:00:00 PM,Saturday January 4 2020 10:00:00 PM
96.0198,Saturday January 4 2020 10:00:00 PM,Saturday January 4 2020 11:00:00 PM
53.8493,Saturday January 4 2020 11:00:00 PM,Sunday January 5 2020 12:00:00 AM
59.3367,Sunday January 5 2020 12:00:00 AM,Sunday January 5 2020 1:00:00 AM
68.3375,Sunday January 5 2020 1:00:00 AM,Sunday January 5 2020 2:00:00 AM
73.6653,Sunday January 5 2020 2:00:00 AM,Sunday January 5 2020 3:00:00 AM
64.1591,Sunday January 5 2020 3:00:00 AM,Sunday January 5 2020 4:00:00 AM
89.6641,Sunday January 5 2020 4:00:00 AM,Sunday January 5 2020 5:00:00 AM
79.1845,Sunday January 5 2020 5:00:00 AM,Sunday January 5 2020 6:00:00 AM
83.0487,Sunday January 5 2020 6:00:00 AM,Sunday January 5 2020 7:00:00 AM
56.8932,Sunday January 5 2020 7:00:00 AM,Sunday January 5 2020 8:00:00 AM
124.612,Sunday January 5 2020 8:00:00 AM,Sunday January 5 2020 9:00:00 AM
103.753,Sunday January 5 2020 9:00:00 AM,Sunday January 5 2020 10:00:00 AM
57.8865,Sunday January 5 2020 10:00:00 AM,Sunday January 5 2020 11:00:00 AM
112.056,Sunday January 5 2020 11:00:00 AM,Sunday January 5 2020 12:00:00 PM
75.3663,Sunday January 5 2020 12:00:00 PM,Sunday January 5 2020 1:00:00 PM
43.1946,Sunday January 5 2020 1:00:00 PM,Sunday January 5 2020 2:00:00 PM
