Readings,Start Timestamp,End Timestamp
29.0101,Wednesday January 1 2020 12:00:00 AM,Wednesday January 1 2020 1:00:00 AM
20.643,Wednesday January 1 2020 1:00:00 AM,Wednesday January 1 2020 2:00:00 AM
34.0041,Wednesday January 1 2020 2:00:00 AM,Wednesday January 1 2020 3:00:00 AM
23.6425,Wednesday January 1 2020 3:00:00 AM,Wednesday January 1 2020 4:00:00 AM
24.145,Wednesday January 1 2020 4:00:00 AM,Wednesday January 1 2020 5:00:00 AM
30.2965,Wednesday January 1 2020 5:00:00 AM,Wednesday January 1 2020 6:00:00 AM
31.4529,Wednesday January 1 2020 6:00:00 AM,Wednesday January 1 2020 7:00:00 AM
36.3379,Wednesday January 1 2020 7:00:00 AM,Wednesday January 1 2020 8:00:00 AM
30.7731,Wednesday January 1 2020 8:00:00 AM,Wednesday January 1 2020 9:00:00 AM
41.3872,Wednesday January 1 2020 9:00:00 AM,Wednesday January 1 2020 10:00:00 AM
15.3772,Wednesday January 1 2020 10:00:00 AM,Wednesday January 1 2020 11:00:00 AM
40.203,Wednesday January 1 2020 11:00:00 AM,Wednesday January 1 2020 12:00:00 PM
36.3158,Wednesday January 1 2020 12:00:00 PM,Wednesday January 1 2020 1:00:00 PM
21.3726,Wednesday January 1 2020 1:00:00 PM,Wednesday January 1 2020 2:00:00 PM
38.5642,Wednesday January 1 2020 2:00:00 PM,Wednesday January 1 2020 3:00:00 PM
29.597,Wednesday January 1 2020 3:00:00 PM,Wednesday January 1 2020 4:00:00 PM
41.234,Wednesday January 1 2020 4:00:00 PM,Wednesday January 1 2020 5:00:00 PM
37.773,Wednesday January 1 2020 5:00:00 PM,Wednesday January 1 2020 6:00:00 PM
35.1509,Wednesday January 1 2020 6:00:00 PM,Wednesday January 1 2020 7:00:00 PM
22.114,Wednesday January 1 2020 7:00:00 PM,Wednesday January 1 2020 8:00:00 PM
46.9423,Wednesday January 1 2020 8:00:00 PM,Wednesday January 1 2020 9:00:00 PM
41.3032,Wednesday January 1 2020 9:00:00 PM,Wednesday January 1 2020 10:00:00 PM
32.6601,Wednesday January 1 2020 10:00:00 PM,Wednesday January 1 2020 11:00:00 PM
20.9925,Wednesday January 1 2020 11:00:00 PM,Thursday January 2 2020 12:00:00 AM
19.9639,Thursday January 2 2020 12:00:00 AM,Thursday January 2 2020 1:00:00 AM
21.9243,Thursday January 2 2020 1:00:00 AM,Thursday January 2 2020 2:00:00 AM
